scats_site_number,timestamp,traffic_flow
970,2006-10-08 12:00:00,3906
970,2006-10-08 13:00:00,3760
970,2006-10-08 14:00:00,3611
970,2006-10-08 15:00:00,3526
970,2006-10-08 16:00:00,3364
970,2006-10-08 17:00:00,3522
970,2006-10-08 18:00:00,2614
970,2006-10-08 19:00:00,1719
970,2006-10-08 20:00:00,1456
970,2006-10-08 21:00:00,1192
970,2006-10-08 22:00:00,829
970,2006-10-08 23:00:00,507
970,2006-10-09 00:00:00,257
970,2006-10-09 01:00:00,131
970,2006-10-09 02:00:00,91
970,2006-10-09 03:00:00,68
970,2006-10-09 04:00:00,161
970,2006-10-09 05:00:00,447
970,2006-10-09 06:00:00,1848
970,2006-10-09 07:00:00,4189
970,2006-10-09 08:00:00,4989
970,2006-10-09 09:00:00,3704
970,2006-10-09 10:00:00,3040
970,2006-10-09 11:00:00,3188
970,2006-10-09 12:00:00,3191
970,2006-10-09 13:00:00,3185
970,2006-10-09 14:00:00,3362
970,2006-10-09 15:00:00,3945
970,2006-10-09 16:00:00,4617
970,2006-10-09 17:00:00,4933
970,2006-10-09 18:00:00,4064
970,2006-10-09 19:00:00,2407
970,2006-10-09 20:00:00,1650
970,2006-10-09 21:00:00,1421
970,2006-10-09 22:00:00,981
970,2006-10-09 23:00:00,459
970,2006-10-10 00:00:00,246
970,2006-10-10 01:00:00,143
970,2006-10-10 02:00:00,73
970,2006-10-10 03:00:00,86
970,2006-10-10 04:00:00,133
970,2006-10-10 05:00:00,470
970,2006-10-10 06:00:00,1972
970,2006-10-10 07:00:00,4228
970,2006-10-10 08:00:00,5116
970,2006-10-10 09:00:00,3968
970,2006-10-10 10:00:00,3342
970,2006-10-10 11:00:00,3299
970,2006-10-10 12:00:00,3326
970,2006-10-10 13:00:00,3237
970,2006-10-10 14:00:00,3512
970,2006-10-10 15:00:00,4204
970,2006-10-10 16:00:00,4611
970,2006-10-10 17:00:00,5005
970,2006-10-10 18:00:00,4377
970,2006-10-10 19:00:00,2748
970,2006-10-10 20:00:00,1893
970,2006-10-10 21:00:00,1791
970,2006-10-10 22:00:00,1330
970,2006-10-10 23:00:00,644
970,2006-10-11 00:00:00,302
970,2006-10-11 01:00:00,137
970,2006-10-11 02:00:00,107
970,2006-10-11 03:00:00,87
970,2006-10-11 04:00:00,135
970,2006-10-11 05:00:00,472
970,2006-10-11 06:00:00,1936
970,2006-10-11 07:00:00,4277
970,2006-10-11 08:00:00,4959
970,2006-10-11 09:00:00,3935
970,2006-10-11 10:00:00,3344
970,2006-10-11 11:00:00,3176
970,2006-10-11 12:00:00,3239
970,2006-10-11 13:00:00,3308
970,2006-10-11 14:00:00,3334
970,2006-10-11 15:00:00,4117
970,2006-10-11 16:00:00,4808
970,2006-10-11 17:00:00,4942
970,2006-10-11 18:00:00,4305
970,2006-10-11 19:00:00,2771
970,2006-10-11 20:00:00,1838
970,2006-10-11 21:00:00,1727
970,2006-10-11 22:00:00,1371
970,2006-10-11 23:00:00,718
970,2006-10-12 00:00:00,266
970,2006-10-12 01:00:00,181
970,2006-10-12 02:00:00,110
970,2006-10-12 03:00:00,84
970,2006-10-12 04:00:00,166
970,2006-10-12 05:00:00,511
970,2006-10-12 06:00:00,2059
970,2006-10-12 07:00:00,4202
970,2006-10-12 08:00:00,5021
970,2006-10-12 09:00:00,4111
970,2006-10-12 10:00:00,3429
970,2006-10-12 11:00:00,3409
970,2006-10-12 12:00:00,3419
970,2006-10-12 13:00:00,3359
970,2006-10-12 14:00:00,3534
970,2006-10-12 15:00:00,4208
970,2006-10-12 16:00:00,4701
970,2006-10-12 17:00:00,4991
970,2006-10-12 18:00:00,4321
970,2006-10-12 19:00:00,3112
970,2006-10-12 20:00:00,2298
970,2006-10-12 21:00:00,2128
970,2006-10-12 22:00:00,1394
970,2006-10-12 23:00:00,756
970,2006-10-13 00:00:00,396
970,2006-10-13 01:00:00,201
970,2006-10-13 02:00:00,138
970,2006-10-13 03:00:00,102
970,2006-10-13 04:00:00,164
970,2006-10-13 05:00:00,477
970,2006-10-13 06:00:00,1929
970,2006-10-13 07:00:00,4185
970,2006-10-13 08:00:00,4807
970,2006-10-13 09:00:00,3745
970,2006-10-13 10:00:00,3265
970,2006-10-13 11:00:00,3496
970,2006-10-13 12:00:00,3630
970,2006-10-13 13:00:00,3538
970,2006-10-13 14:00:00,3808
970,2006-10-13 15:00:00,4401
970,2006-10-13 16:00:00,4859
970,2006-10-13 17:00:00,4991
970,2006-10-13 18:00:00,4592
970,2006-10-13 19:00:00,3196
970,2006-10-13 20:00:00,2131
970,2006-10-13 21:00:00,1937
970,2006-10-13 22:00:00,1471
970,2006-10-13 23:00:00,1158
970,2006-10-14 00:00:00,768
970,2006-10-14 01:00:00,446
970,2006-10-14 02:00:00,277
970,2006-10-14 03:00:00,207
970,2006-10-14 04:00:00,193
970,2006-10-14 05:00:00,322
970,2006-10-14 06:00:00,787
970,2006-10-14 07:00:00,1301
970,2006-10-14 08:00:00,2456
970,2006-10-14 09:00:00,3304
970,2006-10-14 10:00:00,3868
970,2006-10-14 11:00:00,4288
970,2006-10-14 12:00:00,4504
970,2006-10-14 13:00:00,4336
970,2006-10-14 14:00:00,4022
970,2006-10-14 15:00:00,3947
970,2006-10-14 16:00:00,3974
970,2006-10-14 17:00:00,4077
970,2006-10-14 18:00:00,3526
970,2006-10-14 19:00:00,2466
970,2006-10-14 20:00:00,1573
970,2006-10-14 21:00:00,1435
970,2006-10-14 22:00:00,1469
970,2006-10-14 23:00:00,1322
970,2006-10-15 00:00:00,1037
