scats_site_number,timestamp,traffic_flow,scaled_traffic_flow
970,2006-10-05 08:00:00,4724,0.8858593456186535
970,2006-10-05 09:00:00,3951,0.7405039488529521
970,2006-10-05 10:00:00,3304,0.6188416698006769
970,2006-10-05 11:00:00,3482,0.6523128995863106
970,2006-10-05 12:00:00,3377,0.6325686348251222
970,2006-10-05 13:00:00,3436,0.6436630312147423
970,2006-10-05 14:00:00,3599,0.6743136517487777
970,2006-10-05 15:00:00,4276,0.8016171493042497
970,2006-10-05 16:00:00,4863,0.9119969913501316
970,2006-10-05 17:00:00,5070,0.9509213990221888
970,2006-10-05 18:00:00,4466,0.837344866491162
970,2006-10-05 19:00:00,3062,0.573335840541557
970,2006-10-05 20:00:00,2227,0.41632192553591574
970,2006-10-05 21:00:00,2063,0.38548326438510716
970,2006-10-05 22:00:00,1331,0.24783753290710792
970,2006-10-05 23:00:00,770,0.14234674689732982
970,2006-10-06 00:00:00,323,0.05829259119969913
970,2006-10-06 01:00:00,188,0.032907107935314026
970,2006-10-06 02:00:00,119,0.01993230537796164
970,2006-10-06 03:00:00,111,0.018427980443775856
970,2006-10-06 04:00:00,159,0.02745393004889056
970,2006-10-06 05:00:00,455,0.08311395261376457
970,2006-10-06 06:00:00,1928,0.36009778112072205
970,2006-10-06 07:00:00,4153,0.7784881534411432
970,2006-10-06 08:00:00,4883,0.915757803685596
970,2006-10-06 09:00:00,3749,0.7025197442647612
970,2006-10-06 10:00:00,3339,0.6254230913877397
970,2006-10-06 11:00:00,3591,0.6728093268145919
970,2006-10-06 12:00:00,3296,0.6173373448664911
970,2006-10-06 13:00:00,3603,0.6750658142158705
970,2006-10-06 14:00:00,3761,0.7047762316660398
970,2006-10-06 15:00:00,4472,0.8384731101918014
970,2006-10-06 16:00:00,4811,0.902218879277924
970,2006-10-06 17:00:00,5116,0.959571267393757
970,2006-10-06 18:00:00,4637,0.8694998119593832
970,2006-10-06 19:00:00,3267,0.6118841669800676
970,2006-10-06 20:00:00,2066,0.38604738623542684
970,2006-10-06 21:00:00,1996,0.37288454306130125
970,2006-10-06 22:00:00,1435,0.26739375705152313
970,2006-10-06 23:00:00,1168,0.21718691237307258
970,2006-10-07 00:00:00,718,0.13256863482512224
970,2006-10-07 01:00:00,454,0.08292591199699136
970,2006-10-07 02:00:00,300,0.053967657013915
970,2006-10-07 03:00:00,248,0.044189544941707404
970,2006-10-07 04:00:00,194,0.034035351635953365
970,2006-10-07 05:00:00,315,0.056788266265513344
970,2006-10-07 06:00:00,856,0.158518239939827
970,2006-10-07 07:00:00,1386,0.2581797668296352
970,2006-10-07 08:00:00,2555,0.4779992478375329
970,2006-10-07 09:00:00,3355,0.6284317412561112
970,2006-10-07 10:00:00,3925,0.7356148928168483
970,2006-10-07 11:00:00,4261,0.7987965400526513
970,2006-10-07 12:00:00,4488,0.841481760060173
970,2006-10-07 13:00:00,4246,0.795975930801053
970,2006-10-07 14:00:00,3989,0.7476494922903346
970,2006-10-07 15:00:00,3821,0.7160586686724332
970,2006-10-07 16:00:00,3886,0.7282813087626927
970,2006-10-07 17:00:00,3950,0.740315908236179
970,2006-10-07 18:00:00,3716,0.6963144039112448
970,2006-10-07 19:00:00,2548,0.47668296352012035
970,2006-10-07 20:00:00,1678,0.3130876269274163
970,2006-10-07 21:00:00,1465,0.27303497555471984
970,2006-10-07 22:00:00,1417,0.2640090259496051
970,2006-10-07 23:00:00,1476,0.27510342233922525
970,2006-10-08 00:00:00,1051,0.1951861602106055
970,2006-10-08 01:00:00,642,0.11827754795035728
970,2006-10-08 02:00:00,376,0.06825874388867996
970,2006-10-08 03:00:00,245,0.043625423091387734
970,2006-10-08 04:00:00,191,0.033471229785633695
970,2006-10-08 05:00:00,230,0.04080481383978939
970,2006-10-08 06:00:00,588,0.10812335464460324
970,2006-10-08 07:00:00,831,0.15381722452049643
970,2006-10-08 08:00:00,1277,0.2376833396013539
970,2006-10-08 09:00:00,2279,0.42610003760812337
970,2006-10-08 10:00:00,2912,0.5451297480255735
970,2006-10-08 11:00:00,3566,0.6681083113952613
970,2006-10-08 12:00:00,3906,0.7320421210981571
970,2006-10-08 13:00:00,3760,0.7045881910492666
970,2006-10-08 14:00:00,3611,0.6765701391500564
970,2006-10-08 15:00:00,3526,0.6605866867243324
970,2006-10-08 16:00:00,3364,0.6301241068070703
970,2006-10-08 17:00:00,3522,0.6598345242572395
970,2006-10-08 18:00:00,2614,0.48909364422715307
970,2006-10-08 19:00:00,1719,0.32079729221511843
970,2006-10-08 20:00:00,1456,0.2713426100037608
970,2006-10-08 21:00:00,1192,0.22169988717562994
970,2006-10-08 22:00:00,829,0.15344114328695
970,2006-10-08 23:00:00,507,0.09289206468597218
970,2006-10-09 00:00:00,257,0.04588191049266641
970,2006-10-09 01:00:00,131,0.022188792779240317
970,2006-10-09 02:00:00,91,0.014667168108311396
970,2006-10-09 03:00:00,68,0.010342233922527266
970,2006-10-09 04:00:00,161,0.027830011282437006
970,2006-10-09 05:00:00,447,0.08160962767957879
970,2006-10-09 06:00:00,1848,0.34505453177886425
970,2006-10-09 07:00:00,4189,0.7852576156449792
970,2006-10-09 08:00:00,4989,0.9356901090635577
970,2006-10-09 09:00:00,3704,0.6940579165099661
970,2006-10-09 10:00:00,3040,0.569198946972546
970,2006-10-09 11:00:00,3188,0.597028958254983
970,2006-10-09 12:00:00,3191,0.5975930801053027
970,2006-10-09 13:00:00,3185,0.5964648364046633
970,2006-10-09 14:00:00,3362,0.6297480255735238
970,2006-10-09 15:00:00,3945,0.7393757051523129
970,2006-10-09 16:00:00,4617,0.8657389996239186
970,2006-10-09 17:00:00,4933,0.9251598345242572
970,2006-10-09 18:00:00,4064,0.7617525385483264
970,2006-10-09 19:00:00,2407,0.4501692365550959
970,2006-10-09 20:00:00,1650,0.3078224896577661
970,2006-10-09 21:00:00,1421,0.264761188416698
970,2006-10-09 22:00:00,981,0.1820233170364799
970,2006-10-09 23:00:00,459,0.08386611508085746
970,2006-10-10 00:00:00,246,0.04381346370816096
970,2006-10-10 01:00:00,143,0.024445280180518992
970,2006-10-10 02:00:00,73,0.011282437006393382
970,2006-10-10 03:00:00,86,0.01372696502444528
970,2006-10-10 04:00:00,133,0.022564874012786763
970,2006-10-10 05:00:00,470,0.08593456186536293
970,2006-10-10 06:00:00,1972,0.3683715682587439
970,2006-10-10 07:00:00,4228,0.7925911996991349
970,2006-10-10 08:00:00,5116,0.959571267393757
970,2006-10-10 09:00:00,3968,0.7437006393380969
970,2006-10-10 10:00:00,3342,0.6259872132380594
970,2006-10-10 11:00:00,3299,0.6179014667168108
970,2006-10-10 12:00:00,3326,0.6229785633696878
970,2006-10-10 13:00:00,3237,0.606242948476871
970,2006-10-10 14:00:00,3512,0.6579541180895072
970,2006-10-10 15:00:00,4204,0.7880782248965776
970,2006-10-10 16:00:00,4611,0.8646107559232794
970,2006-10-10 17:00:00,5005,0.9386987589319292
970,2006-10-10 18:00:00,4377,0.8206092515983452
970,2006-10-10 19:00:00,2748,0.5142910868747649
970,2006-10-10 20:00:00,1893,0.3535163595336593
970,2006-10-10 21:00:00,1791,0.3343362166227905
970,2006-10-10 22:00:00,1330,0.24764949229033473
970,2006-10-10 23:00:00,644,0.11865362918390372
970,2006-10-11 00:00:00,302,0.05434373824746145
970,2006-10-11 01:00:00,137,0.023317036479879656
970,2006-10-11 02:00:00,107,0.017675817976682964
970,2006-10-11 03:00:00,87,0.013915005641218503
970,2006-10-11 04:00:00,135,0.02294095524633321
970,2006-10-11 05:00:00,472,0.08631064309890937
970,2006-10-11 06:00:00,1936,0.36160210605490783
970,2006-10-11 07:00:00,4277,0.8018051899210229
970,2006-10-11 08:00:00,4959,0.930048890560361
970,2006-10-11 09:00:00,3935,0.7374952989845805
970,2006-10-11 10:00:00,3344,0.6263632944716058
970,2006-10-11 11:00:00,3176,0.5947724708537043
970,2006-10-11 12:00:00,3239,0.6066190297104174
970,2006-10-11 13:00:00,3308,0.6195938322677698
970,2006-10-11 14:00:00,3334,0.6244828883038736
970,2006-10-11 15:00:00,4117,0.7717186912373072
970,2006-10-11 16:00:00,4808,0.9016547574276043
970,2006-10-11 17:00:00,4942,0.9268522000752162
970,2006-10-11 18:00:00,4305,0.8070703271906731
970,2006-10-11 19:00:00,2771,0.518616021060549
970,2006-10-11 20:00:00,1838,0.343174125611132
970,2006-10-11 21:00:00,1727,0.3223016171493042
970,2006-10-11 22:00:00,1371,0.25535915757803684
970,2006-10-11 23:00:00,718,0.13256863482512224
970,2006-10-12 00:00:00,266,0.04757427604362542
970,2006-10-12 01:00:00,181,0.03159082361790146
970,2006-10-12 02:00:00,110,0.018239939827002633
970,2006-10-12 03:00:00,84,0.013350883790898833
970,2006-10-12 04:00:00,166,0.028770214366303122
970,2006-10-12 05:00:00,511,0.09364422715306507
970,2006-10-12 06:00:00,2059,0.3847311019180143
970,2006-10-12 07:00:00,4202,0.7877021436630312
970,2006-10-12 08:00:00,5021,0.9417074088003008
970,2006-10-12 09:00:00,4111,0.7705904475366678
970,2006-10-12 10:00:00,3429,0.6423467468973297
970,2006-10-12 11:00:00,3409,0.6385859345618653
970,2006-10-12 12:00:00,3419,0.6404663407295975
970,2006-10-12 13:00:00,3359,0.6291839037232041
970,2006-10-12 14:00:00,3534,0.6620910116585181
970,2006-10-12 15:00:00,4208,0.7888303873636705
970,2006-10-12 16:00:00,4701,0.8815344114328695
970,2006-10-12 17:00:00,4991,0.9360661902971041
970,2006-10-12 18:00:00,4321,0.8100789770590446
970,2006-10-12 19:00:00,3112,0.582737871380218
970,2006-10-12 20:00:00,2298,0.42967280932681456
970,2006-10-12 21:00:00,2128,0.3977059044753667
970,2006-10-12 22:00:00,1394,0.25968409176382096
970,2006-10-12 23:00:00,756,0.1397141782625047
970,2006-10-13 00:00:00,396,0.07201955622414442
970,2006-10-13 01:00:00,201,0.03535163595336593
970,2006-10-13 02:00:00,138,0.023505077096652876
970,2006-10-13 03:00:00,102,0.016735614892816848
970,2006-10-13 04:00:00,164,0.028394133132756676
970,2006-10-13 05:00:00,477,0.08725084618277548
970,2006-10-13 06:00:00,1929,0.3602858217374953
970,2006-10-13 07:00:00,4185,0.7845054531778863
970,2006-10-13 08:00:00,4807,0.901466716810831
970,2006-10-13 09:00:00,3745,0.7017675817976682
970,2006-10-13 10:00:00,3265,0.6115080857465212
970,2006-10-13 11:00:00,3496,0.6549454682211358
970,2006-10-13 12:00:00,3630,0.6801429108687476
970,2006-10-13 13:00:00,3538,0.6628431741256111
970,2006-10-13 14:00:00,3808,0.7136141406543812
970,2006-10-13 15:00:00,4401,0.8251222264009025
970,2006-10-13 16:00:00,4859,0.9112448288830387
970,2006-10-13 17:00:00,4991,0.9360661902971041
970,2006-10-13 18:00:00,4592,0.8610379842045881
970,2006-10-13 19:00:00,3196,0.5985332831891688
970,2006-10-13 20:00:00,2131,0.39827002632568637
970,2006-10-13 21:00:00,1937,0.3617901466716811
970,2006-10-13 22:00:00,1471,0.27416321925535914
970,2006-10-13 23:00:00,1158,0.21530650620534036
970,2006-10-14 00:00:00,768,0.14197066566378339
970,2006-10-14 01:00:00,446,0.08142158706280557
970,2006-10-14 02:00:00,277,0.04964272282813087
970,2006-10-14 03:00:00,207,0.03647987965400526
970,2006-10-14 04:00:00,193,0.03384731101918014
970,2006-10-14 05:00:00,322,0.05810455058292591
970,2006-10-14 06:00:00,787,0.1455434373824746
970,2006-10-14 07:00:00,1301,0.24219631440391123
970,2006-10-14 08:00:00,2456,0.45938322677698384
970,2006-10-14 09:00:00,3304,0.6188416698006769
970,2006-10-14 10:00:00,3868,0.7248965776607746
970,2006-10-14 11:00:00,4288,0.8038736367055284
970,2006-10-14 12:00:00,4504,0.8444904099285445
970,2006-10-14 13:00:00,4336,0.8128995863106431
970,2006-10-14 14:00:00,4022,0.753854832643851
970,2006-10-14 15:00:00,3947,0.7397517863858593
