epoch,loss,mae,rmse,val_loss,val_mae,val_rmse
0,0.013314679265022278,0.08395358920097351,0.11538925021886826,0.007199738174676895,0.05931922793388367,0.08485127240419388
1,0.004840873647481203,0.05014162138104439,0.06957639008760452,0.0043968758545815945,0.04776407405734062,0.06630894541740417
2,0.0038597413804382086,0.0452718585729599,0.06212681531906128,0.003462364664301276,0.04256085306406021,0.05884186178445816
3,0.003118423745036125,0.041080787777900696,0.05584285035729408,0.002905633533373475,0.0407516211271286,0.05390392988920212
4,0.002642508363351226,0.03768154978752136,0.05140533298254013,0.0026332733687013388,0.035287268459796906,0.05131543055176735
5,0.002411820227280259,0.03588706627488136,0.0491102859377861,0.0021550210658460855,0.033419717103242874,0.04642220586538315
6,0.0022438596934080124,0.03472980111837387,0.047369394451379776,0.0019280066480860114,0.031010286882519722,0.04390907287597656
7,0.0020529283210635185,0.0332486517727375,0.04530925303697586,0.001979163847863674,0.03282768279314041,0.04448779299855232
8,0.001923793344758451,0.032077889889478683,0.04386106878519058,0.0017883793916553259,0.031236033886671066,0.042289234697818756
9,0.0018519205041229725,0.03189953789114952,0.04303394630551338,0.0015356524381786585,0.028032520785927773,0.03918740153312683
10,0.0017605003667995334,0.0306962002068758,0.041958317160606384,0.0015239173080772161,0.027393588796257973,0.03903738409280777
11,0.0016966838156804442,0.030207743868231773,0.041190821677446365,0.00141851173248142,0.026910634711384773,0.037663135677576065
12,0.0016114999307319522,0.029547985643148422,0.04014349356293678,0.0013486973475664854,0.026027485728263855,0.03672461584210396
13,0.0015570787945762277,0.02911483310163021,0.03945983946323395,0.001281406613998115,0.02520306408405304,0.03579673916101456
14,0.001516929711215198,0.0286590363830328,0.038947783410549164,0.0013059091288596392,0.02489134855568409,0.03613736480474472
15,0.0014903676928952336,0.02831655740737915,0.038605280220508575,0.001305304584093392,0.024644998833537102,0.036128997802734375
16,0.0014610423240810633,0.028110943734645844,0.03822358325123787,0.0012177035678178072,0.023942455649375916,0.03489561006426811
17,0.0014442283427342772,0.02783016301691532,0.03800300508737564,0.0012789545580744743,0.02475854940712452,0.035762473940849304
18,0.001429807860404253,0.027715707197785378,0.03781279921531677,0.0012001895811408758,0.024184539914131165,0.0346437506377697
19,0.0014260250609368086,0.027602804824709892,0.03776274621486664,0.001201400882564485,0.023097826167941093,0.03466122969985008
20,0.0013976829359307885,0.027333376929163933,0.037385597825050354,0.0010912892175838351,0.02343394234776497,0.03303466737270355
21,0.0013898996403440833,0.027366209775209427,0.03728135675191879,0.001225578016601503,0.024584436789155006,0.035008255392313004
22,0.0013624121202155948,0.027084307745099068,0.03691086545586586,0.0010869348188862205,0.02328779362142086,0.03296869620680809
23,0.0013516444014385343,0.026869479566812515,0.0367647185921669,0.0011351262219250202,0.02275460585951805,0.033691633492708206
