epoch,loss,mae,rmse,val_loss,val_mae,val_rmse
0,0.009963667020201683,0.07059934735298157,0.0998181700706482,0.00533644575625658,0.05235323682427406,0.07305098325014114
1,0.004393221810460091,0.04696110635995865,0.06628138571977615,0.004714444279670715,0.049597226083278656,0.06866180896759033
2,0.0038752832915633917,0.04438656568527222,0.06225177273154259,0.003967105410993099,0.044503308832645416,0.06298495829105377
3,0.0034171249717473984,0.04239090904593468,0.0584561787545681,0.0034035230055451393,0.04326454922556877,0.05833972245454788
4,0.0028445010539144278,0.039152227342128754,0.053333863615989685,0.0025817984715104103,0.036689210683107376,0.05081140249967575
5,0.0024701845832169056,0.036290399730205536,0.04970095306634903,0.0023292868863791227,0.033748384565114975,0.04826268553733826
6,0.0022231386974453926,0.03456186503171921,0.04715017229318619,0.0022086002863943577,0.032925795763731,0.046995747834444046
7,0.0020770288538187742,0.033190738409757614,0.045574430376291275,0.0019010184332728386,0.031370580196380615,0.043600670993328094
8,0.001929562073200941,0.03211868554353714,0.04392677918076515,0.0017219651490449905,0.02839256450533867,0.04149656742811203
9,0.0018476255936548114,0.031353358179330826,0.0429840162396431,0.0017026800196617842,0.028432613238692284,0.04126354306936264
10,0.0017867118585854769,0.030848847702145576,0.0422695130109787,0.0014598064590245485,0.026329010725021362,0.038207415491342545
11,0.001721350010484457,0.03030974045395851,0.04148915410041809,0.0014136830577626824,0.02627967856824398,0.037598975002765656
12,0.00166883144993335,0.0300430990755558,0.04085133224725723,0.001446899608708918,0.02684425190091133,0.03803813457489014
13,0.0015968781663104892,0.029131315648555756,0.03996095806360245,0.0013773479731753469,0.02597053349018097,0.03711263835430145
14,0.0015670950524508953,0.028923068195581436,0.03958655148744583,0.0012976203579455614,0.024808989837765694,0.036022499203681946
15,0.0015292519237846136,0.02862992323935032,0.039105650037527084,0.0012433519586920738,0.024435902014374733,0.03526119515299797
16,0.0015105727361515164,0.028397835791110992,0.038866087794303894,0.001201485050842166,0.02413496933877468,0.03466244414448738
17,0.0014541473938152194,0.02781698666512966,0.03813328593969345,0.0013136225752532482,0.024139005690813065,0.03624393045902252
18,0.0014180400175973773,0.027389604598283768,0.03765687346458435,0.0011236212449148297,0.022789515554904938,0.03352046012878418
19,0.0013922092039138079,0.02718581072986126,0.03731232136487961,0.0010555757908150554,0.022194866091012955,0.032489627599716187
20,0.0013621905818581581,0.026896612718701363,0.0369078665971756,0.0010732467053458095,0.022921903058886528,0.03276044502854347
21,0.0013381823664531112,0.026757365092635155,0.03658117353916168,0.0011993845691904426,0.02433049865067005,0.034632131457328796
22,0.0013160210801288486,0.026449669152498245,0.03627700358629227,0.0009869127534329891,0.02155274711549282,0.031415168195962906
23,0.001283535617403686,0.026166429743170738,0.03582646697759628,0.0010192955378443003,0.021680297330021858,0.03192640841007233
24,0.0012637075269594789,0.025897283107042313,0.03554866462945938,0.0010868122335523367,0.022624121978878975,0.03296683356165886
25,0.0012673251330852509,0.02595721185207367,0.03559951111674309,0.0009777427185326815,0.02168002724647522,0.031268876045942307
26,0.0012487663188949227,0.025748049840331078,0.035337887704372406,0.0010606413707137108,0.02217884734272957,0.03256748989224434
27,0.00122836884111166,0.02564861997961998,0.035048093646764755,0.0010104668326675892,0.021582452580332756,0.03178784251213074
28,0.001226307125762105,0.025604885071516037,0.035018667578697205,0.0010138549841940403,0.021959027275443077,0.03184108808636665
29,0.001187324756756425,0.02512349560856819,0.034457579255104065,0.0008928227471187711,0.02035841904580593,0.029880139976739883
30,0.0012039706343784928,0.02524391934275627,0.034698281437158585,0.001004980644211173,0.022942669689655304,0.031701430678367615
31,0.0011785568203777075,0.02509624883532524,0.03433011472225189,0.0009682349627837539,0.021607667207717896,0.03111647441983223
32,0.001168718095868826,0.024944275617599487,0.03418651968240738,0.0008957107202149928,0.02020016498863697,0.029928427189588547
33,0.001169606577605009,0.024976162239909172,0.034199509769678116,0.000893277523573488,0.02012537606060505,0.029887748882174492
34,0.0011201922316104174,0.024481140077114105,0.03346927464008331,0.0008662957116030157,0.01966896466910839,0.029432902112603188
35,0.001129782758653164,0.02447856403887272,0.033612240105867386,0.0008718278259038925,0.019897980615496635,0.029526730999350548
36,0.0011306909145787358,0.024443820118904114,0.03362574800848961,0.0009604600491002202,0.020392801612615585,0.030991289764642715
37,0.0011057971278205514,0.02434138022363186,0.03325352817773819,0.001024685800075531,0.021972203627228737,0.03201071545481682
38,0.0011145982425659895,0.02434861660003662,0.03338560089468956,0.0008762511424720287,0.02002231404185295,0.02960154041647911
39,0.0010982066160067916,0.024211369454860687,0.033139199018478394,0.0009945225901901722,0.021269286051392555,0.031536053866147995
